year,co2,annual_emission_rate
1965.0,9050.929590885273,0.6787208000317042
1966.0,9447.224907370088,0.6731586965508
1967.0,9704.731847104134,0.6680971227372939
1968.0,10297.163117870983,0.6652931632178375
1969.0,10990.471056073464,0.6618925232836734
1970.0,11644.514351038822,0.6590972983109064
1971.0,11989.432414711155,0.6543131292219646
1972.0,12563.096755825667,0.6501712190093488
1973.0,13273.711052129607,0.6490772416292647
1974.0,13071.823787797586,0.6430635870529752
1975.0,12953.337005356905,0.6398531269582184
1976.0,13717.454007740465,0.6408895417181537
1977.0,14142.986485859441,0.6396954546502016
1978.0,14318.388613424608,0.6274169893612254
1979.0,14801.182395810205,0.6272143061816012
1980.0,14595.1959857531,0.6276486149365091
1981.0,14303.694454686833,0.622833682618521
1982.0,14053.980768746505,0.619159325800572
1983.0,14163.636606603428,0.6152356385315922
1984.0,14757.096728318758,0.609939798471059
1985.0,18442.559868645767,0.6076198254000164
1986.0,18770.433489321094,0.605059994005734
1987.0,19364.125783988045,0.602935497813871
1988.0,20004.37855621614,0.6002171519011639
1989.0,20396.59930991306,0.5998623049017061
1990.0,20541.98163109264,0.5959787593715435
1991.0,20572.86019847511,0.5921412637880784
1992.0,20679.845967049976,0.5902287041715624
1993.0,20769.01563765296,0.5876943212417152
1994.0,21022.811756314637,0.5866539622843242
1995.0,21255.287718988795,0.581447423164261
1996.0,21881.796449166803,0.5811568846160113
1997.0,22061.477297537156,0.5805226502071208
1998.0,22093.94819584665,0.5783752071707347
1999.0,22431.38358846898,0.5762726623778301
2000.0,22947.02670569821,0.5755388251313709
2001.0,23227.829442658705,0.5764814781186327
2002.0,23735.850115205307,0.5761405032851963
2003.0,24922.682158460957,0.5835083739789094
2004.0,26215.93556230259,0.5849303088413578
2005.0,27288.59083737911,0.5884620997235744
2006.0,28146.249758734008,0.5895303540844643
2007.0,29160.528551741438,0.5916984028326399
2008.0,29427.005512373424,0.5900506955986479
2009.0,28824.40052238109,0.5863104691712117
2010.0,30146.575696551132,0.5846758914967396
2011.0,31067.650034674432,0.5872324109046366
2012.0,31397.5312666491,0.5853871110645079
2013.0,31872.72322876838,0.5829914282517915
2014.0,31894.369050867746,0.5781729625442354
2015.0,31824.735603448546,0.5725771552454821
2016.0,31898.719725560055,0.5664495709538059
2017.0,32203.426236472253,0.5614924171195687
2018.0,32821.543955754554,0.5562741267627211
