country,year,co2,mtoe,renewables,nuclear,renew_ratio,emission_ratio
Finland,1974,46.021633995,17.524129254028235,0.0,0.0,0.0,2.6261866326066445
Finland,1975,46.9549066884,17.82272895219102,0.0,0.0,0.0,2.634552027041159
Finland,1976,53.263952147999994,18.998658455053295,0.0,0.0,0.0,2.8035638555222704
Finland,1977,52.49997140600004,19.98571826881436,0.0,0.5978425268493265,0.0,2.6268743859919614
Finland,1978,55.619252169721776,20.813848285717988,0.0,0.7333693785534169,0.0,2.6722233873438244
Finland,1979,57.577133551827295,22.435956951554772,0.0,1.514851980383154,0.0,2.566288287865399
Finland,1980,57.64400992505272,22.347536528319125,0.0,1.5779708128991188,0.0,2.5794346438143365
Finland,1981,48.71280405733125,22.33774127441987,0.0,3.29527942588065,0.0,2.1807399172052753
Finland,1982,47.0601018461307,22.029542458397803,0.0,3.769504314708144,0.0,2.1362269295879583
Finland,1983,45.3171527174196,21.781884954836524,0.0,3.9817265025259725,0.0,2.080497294489531
Finland,1984,47.90816090902837,22.714602638126603,0.0,4.239441886610025,0.0,2.1091348887879824
Finland,1985,53.16792269083656,23.88906314367345,0.0,4.282553240139797,0.0,2.225617738589177
Finland,1986,52.94891568056924,24.16967349464592,0.0,4.28684055706541,0.0,2.190717044328237
Finland,1987,55.64721120954245,25.43360211596172,0.0,4.41450732773921,0.0,2.1879406210659855
Finland,1988,54.756834911095176,25.27613576491568,0.0,4.393785295932082,0.0,2.1663451810976553
Finland,1989,55.112478597811844,25.4057891255803,0.0,4.289698768349152,0.0,2.169288201417086
Finland,1990,57.47311621313453,27.06023476570632,1.1667873466986423,4.317804512639279,0.04311815314245989,2.123895698272756
Finland,1991,56.616644882134274,27.588668044880286,1.1313979273204462,4.384257924986276,0.041009516134665414,2.0521702892663134
Finland,1992,54.42170609430638,27.39944150487109,1.1207403719961941,4.3278082521323755,0.040903767027402664,1.9862341385546585
Finland,1993,56.47239669152949,27.737319697417284,1.3493008100647093,4.47786434452882,0.048645681153912906,2.0359716550690306
Finland,1994,62.905928615322445,29.209262139111505,1.464678463139787,4.36544136736831,0.05014431573670487,2.153629499975994
Finland,1995,58.64662406564935,27.809155168790518,1.4978503869303468,4.317804512639279,0.05386177242131199,2.1088962864814715
Finland,1996,64.78541760919263,29.18963647243496,1.3352491288410138,4.449044047417757,0.04574394511908182,2.219466407893511
Finland,1997,63.0678993089448,29.434995692648428,1.7895641942345044,4.775832870858903,0.06079716174993221,2.1426162234736252
Finland,1998,60.53241854424677,30.403685268042118,2.1173236185907505,4.996153323980667,0.06964036102611249,1.9909566228760276
Finland,1999,60.21251339990962,29.85875745810765,1.9037425894917785,5.254345076612009,0.06375826563321539,2.01657800008553
Finland,2000,59.72884078376774,30.05038645609269,1.961064016787241,5.138825703894112,0.06525919457483839,1.9876230500742118
Finland,2001,64.56799761170166,30.82814177371957,1.8742565673358984,5.205255297813744,0.06079693615959909,2.094449872640222
Finland,2002,67.83588526206299,31.22920771072546,2.0358693606896052,5.095904897783255,0.06519119471578523,2.172193604475121
Finland,2003,76.22407255429849,33.588899807183,2.123817712811709,5.199538875246261,0.06322974926250874,2.2693232881059697
Finland,2004,69.97726887116646,33.29462927915543,2.3744506875189226,5.195727926867938,0.07131632755573226,2.101758463338011
