,country,num_business_2018,renew_ratio_2017,gdp_2017,gdp_2018,population_2017,population_2018,gdp_per_capita_2017,gdp_per_capita_2018,renew_ratio_2018,debt_gdp_ratio_2017,debt_gdp_ratio_2018
0,Algeria,144450,0.002227481992276444,167555280113.181,180689115940.685,41389198.0,42228429.0,4048.2852582256123,4278.850059534182,0.002445719369343658,0.27454999999999996,0.32881
1,Argentina,1859058,0.007914397313299827,642695864756.35,518475134084.357,44044811.0,44494502.0,14591.863381054127,11652.56628974872,0.010156858864824909,0.57576,0.6270399999999999
2,Australia,2136451,0.04137537557520341,1330803227996.08,1432195178668.32,24601860.0,24992369.0,54093.60219089451,57305.29901620451,0.049992187848534535,0.40806999999999993,0.40513000000000005
3,Austria,552826,0.07952318123502898,416835975862.194,455736580716.185,8797566.0,8847037.0,47380.82963653742,51512.905475153435,0.07915338101422888,0.7855,0.74237
4,Azerbaijan,827,0.002284741534181591,40865558912.3867,46939529411.7647,9854033.0,9942334.0,4147.089715691707,4721.1780867314155,0.003183648272929475,0.54084,0.48350000000000004
5,Bangladesh,4487,0.0019085520491040487,249723862487.361,274024958965.892,159670593.0,161356039.0,1563.9940817866254,1698.2628023354737,0.001974274991966484,0.33098,0.3336
6,Belarus,196436,0.0028254147727453122,54726595249.1849,59662495092.2654,9498264.0,9485386.0,5761.747120230065,6289.938553082121,0.0033322404491949197,0.53437,0.55923
7,Belgium,1739749,0.05492276524948608,494901708704.269,531766935070.733,11375158.0,11422068.0,43507.23820313256,46556.09956714782,0.06137352248472167,1.03423,1.01195
8,Brazil,16880966,0.07274167408001342,2053594973992.61,1868626087908.48,207833831.0,209469333.0,9880.946543263257,8920.762104629797,0.07946138086277822,0.83973,0.8844299999999999
9,Canada,1606339,0.027705515728415214,1646867220617.47,1712510030034.05,36540268.0,37058856.0,45069.92725443256,46210.547622788195,0.02976381690937894,0.89727,0.87262
10,Chile,767894,0.08536700753448256,277746457909.868,298231139609.448,18470439.0,18729160.0,15037.35010899676,15923.359061989326,0.08772175689775709,0.23596999999999999,0.24759
11,China,20153473,0.0354941326956703,12143491448186.1,13608151864637.9,1386395000.0,1392730000.0,8759.041577751,9770.847087833177,0.04384007522115725,0.4696,0.50104
12,Colombia,2006082,0.009915679584851513,311789874617.096,330227866233.324,48901066.0,49648685.0,6375.932062853109,6651.29129267621,0.01033467864460157,0.49354,0.48695
13,Cyprus,16759,0.0351806452749841,22141864998.8731,24469841831.9169,1179680.0,1189265.0,18769.382373926066,20575.600755018353,0.03769560538139957,0.97454,1.1230200000000001
14,Czech Republic,1290084,0.041984417951498515,215913545038.43,245225882903.37,10594438.0,10625695.0,20379.896039641742,23078.573486569112,0.041240139701204916,0.34669000000000005,0.33165999999999995
15,Denmark,469389,0.2881928668668248,329865553842.833,352058410508.345,5764980.0,5797446.0,57218.854851679105,60726.46653515099,0.2796459770793803,0.35294000000000003,0.34739000000000003
16,Ecuador,97731,0.007357336573774888,104295862000.0,108398058000.0,16785361.0,17084357.0,6213.501276499207,6344.871978500566,0.007011798645004464,0.45363,0.48373999999999995
17,Estonia,120851,0.0690541229097244,26611651598.9453,30284890757.0585,1317384.0,1320884.0,20200.37559204097,22927.74441741932,0.06608033352563618,0.0898,0.08802
18,Finland,577895,0.1343455052569784,252331136734.129,273960969999.218,5508214.0,5518050.0,45809.973384136676,49648.149255483004,0.14597813240069446,0.61332,0.60516
19,France,3580305,0.03951806989721865,2586285406561.51,2777535239277.98,66865144.0,66987244.0,38679.12714824198,41463.644022703484,0.043695531989302434,0.96801,0.9668799999999999
20,Germany,3850260,0.13294969539940005,3693204332229.78,3996759291057.81,82657002.0,82927922.0,44681.08258063582,48195.57990441157,0.14614475926752565,0.63852,0.5978600000000001
21,Greece,84533,0.07941049010658739,203085551429.132,218031844583.994,10754679.0,10727668.0,18883.460066928263,20324.25356414777,0.08299230481638427,1.8177900000000002,1.8806400000000003
22,Hungary,1007039,0.03122006224146667,139761138102.757,155703069815.638,9787966.0,9768785.0,14278.874497802402,15938.836796555355,0.03403886315079046,0.7358,0.7127
23,Iceland,11864,0.21397243279702552,24489493459.0074,25882218777.4084,343400.0,353574.0,71314.77419629412,73201.70254998501,0.24221359223203856,0.39958,0.37022
24,India,4907591,0.02888951332031865,2652551202555.27,2726322616821.31,1338658835.0,1352617328.0,1981.4990445681929,2015.5904854867497,0.03397741954862895,0.7117600000000001,0.69554
25,Indonesia,50035,0.01712219621526603,1015423455783.28,1042173300625.55,264645886.0,267663435.0,3836.913813892728,3893.5960775723815,0.01799316920980346,0.28768,0.2983
26,Iraq,3305,0.0002745557731268916,193158783783.784,225914183047.981,37552781.0,38433600.0,5143.66123200793,5878.038566462184,0.0002405668354084716,0.59726,0.51771
27,Ireland,307435,0.11816703988435437,334834010485.56,382487490532.479,4807388.0,4853506.0,69649.88273997439,78806.43199626806,0.13571538176552733,0.6855500000000001,0.66577
28,Israel,206144,0.01605681503935568,353268411918.577,369690436162.433,8713300.0,8883800.0,40543.584166570305,41613.998082175756,0.017768362748862947,0.60928,0.61494
29,Italy,6169409,0.098032689069254,1946570340341.13,2073901988878.23,60536709.0,60431283.0,32155.20586593384,34318.35112417239,0.09669229513371286,1.31808,1.30281
30,Japan,4807393,0.049117212509244085,4859950558538.97,4970915556638.88,126785797.0,126529100.0,38331.979397810384,39286.73764880079,0.05587026607214692,2.3764700000000003,2.38225
31,Kazakhstan,438630,0.0014050605043839741,162886867831.694,170538870248.194,18037776.0,18276499.0,9030.31880602653,9331.04694986682,0.0019503896064737851,0.20792,0.17798999999999998
32,Kuwait,7308,0.000617476363922808,119551599076.822,141677814569.536,4056097.0,4137309.0,29474.541431534308,34243.95290985904,0.0006133680279593847,0.20584,0.18792999999999999
33,Latvia,155852,0.05904176013248719,30463302413.7289,34849078085.6672,1942248.0,1926542.0,15684.558518648957,18088.927251867437,0.0668235515945464,0.36315,0.35005000000000003
34,Lithuania,70823,0.0744252034897103,47544459558.9514,53251369047.3762,2828403.0,2789533.0,16809.64825696741,19089.707505656395,0.06559796171969104,0.39734,0.36955999999999994
35,Luxembourg,150919,0.03061560240336848,62316359824.1281,69487922619.3401,596336.0,607728.0,104498.73867103126,114340.49874177281,0.03692647967745513,0.22949999999999998,0.22804000000000002
36,Malaysia,10801,0.003088028529723756,314707268049.991,354348422831.193,31105028.0,31528585.0,10117.56903256898,11238.957372530134,0.0033361190998662947,0.5412300000000001,0.5510100000000001
37,Mexico,218983,0.022867379693905985,1158071006809.62,1223808885585.61,124777324.0,126190788.0,9281.101482907425,9698.084186506627,0.025848762128574603,0.54332,0.53815
38,Morocco,482498,0.03899699099588126,109708728848.535,118495328198.08,35581294.0,36029138.0,3083.32599844556,3288.874915577497,0.05163101079378482,0.65132,0.6441199999999999
39,Netherlands,1335984,0.04651810554516282,831809944960.879,913658465709.125,17131296.0,17231017.0,48554.99227617566,53024.05921305312,0.049708077942078925,0.5645,0.53099
40,New Zealand,316172,0.10865718756845087,202590814084.991,205024937871.546,4793900.0,4885500.0,42260.12517678529,41966.00918463739,0.10892966128596528,0.31695999999999996,0.30357
41,Norway,835971,0.014748300931400678,399488897844.046,434750937596.065,5276968.0,5314336.0,75704.24869812476,81807.19803867595,0.01966912393200812,0.36461999999999994,0.36358
42,Oman,5628,6.717923489912615e-05,70783875162.5488,79294928478.5436,4665935.0,4829483.0,15170.351743551677,16418.926928315846,0.00010114937166762889,0.46903,0.48698
43,Pakistan,4086,0.010853291257106348,304951818494.066,312570060548.453,207896686.0,212215030.0,1466.8430957772264,1472.8931336694343,0.014672046485011013,0.66962,0.7253499999999999
44,Peru,1022275,0.017264890464218634,210702303186.432,222237570741.8,31444297.0,31989256.0,6700.811380404911,6947.256627093796,0.02441116360118701,0.25429,0.26389
45,Philippines,190051,0.06721801302047499,313619747740.186,330910343610.956,105173264.0,106651922.0,2981.9341514416246,3102.713363299313,0.06707843956195461,0.39970999999999995,0.39786
46,Poland,4882507,0.04717843561778778,526371021088.561,585782872331.589,37974826.0,37978548.0,13861.051557907362,15424.046025445443,0.04190840964534688,0.50622,0.49988
47,Portugal,708245,0.1465049552335561,219308126633.628,237978938135.341,10300300.0,10281762.0,21291.430990711728,23145.73495625954,0.14912888850948444,1.25682,1.20825
48,Qatar,5684,0.0005738417805515928,166928571428.571,192009340659.341,2724724.0,2781677.0,61264.39647779776,69026.46880257521,0.0005810102105996171,0.53767,0.53402
49,Romania,884287,0.06639952247100712,211406933991.363,239552516744.469,19587491.0,19473936.0,10792.9562796666,12301.186403430154,0.05848877106757922,0.36778,0.37185
50,Saudi Arabia,6836,0.00012212312378085728,688586133333.333,782483466666.667,33099147.0,33699947.0,20803.742565732373,23219.13048310334,0.0001352051849626528,0.17206,0.19390000000000002
51,Singapore,417739,0.002777750696870297,338406474038.67,364156657769.87,5612253.0,5638676.0,60297.79378062072,64581.94401839545,0.0030672084032691005,1.11105,1.1284999999999998
52,Slovenia,178478,0.019178740549794442,48455919386.0505,54235484383.0673,2066388.0,2067372.0,23449.57451652376,26234.022896250553,0.017648751426453363,0.73617,0.6965399999999999
53,South Africa,262294,0.019739870228340808,349268114386.875,368288203086.63,57000451.0,57779622.0,6127.462296515426,6374.015445906344,0.02301686611531166,0.5304,0.55728
54,Spain,3452690,0.11334233189490177,1314314164402.2,1426189137596.58,46593236.0,46723749.0,28208.26105321811,30523.859239047364,0.11322819343703475,0.9836399999999998,0.97154
55,Sri Lanka,2283,0.01704256781926864,88019706803.834,88900770857.6351,21444000.0,21670000.0,4104.630983204346,4102.481350144675,0.017430755774097768,0.7910200000000001,0.78004
