,country,production_growth_rate_2017,renew_ratio_2017,gdp_2017,gdp_2018,population_2017,population_2018,gdp_per_capita_2017,gdp_per_capita_2018,renew_ratio_2018,debt_gdp_ratio_2017,debt_gdp_ratio_2018
0,Singapore,10.0,0.002777750696870297,338406474038.67,364156657769.87,5612253.0,5638676.0,60297.79378062072,64581.94401839545,0.0030672084032691005,1.11105,1.1284999999999998
1,Vietnam,12.0,0.0009980105353300651,223779865815.183,244948445308.883,94596642.0,95540395.0,2365.6216656737456,2563.82073058085,0.0012336978851205376,0.58489,0.5781399999999999
2,Bangladesh,16.0,0.0019085520491040487,249723862487.361,274024958965.892,159670593.0,161356039.0,1563.9940817866254,1698.2628023354737,0.001974274991966484,0.33098,0.3336
3,Slovenia,20.0,0.019178740549794442,48455919386.0505,54235484383.0673,2066388.0,2067372.0,23449.57451652376,26234.022896250553,0.017648751426453363,0.73617,0.6965399999999999
4,Peru,21.0,0.017264890464218634,210702303186.432,222237570741.8,31444297.0,31989256.0,6700.811380404911,6947.256627093796,0.02441116360118701,0.25429,0.26389
5,India,24.0,0.02888951332031865,2652551202555.27,2726322616821.31,1338658835.0,1352617328.0,1981.4990445681929,2015.5904854867497,0.03397741954862895,0.7117600000000001,0.69554
6,Philippines,27.0,0.06721801302047499,313619747740.186,330910343610.956,105173264.0,106651922.0,2981.9341514416246,3102.713363299313,0.06707843956195461,0.39970999999999995,0.39786
7,China,32.0,0.0354941326956703,12143491448186.1,13608151864637.9,1386395000.0,1392730000.0,8759.041577751,9770.847087833177,0.04384007522115725,0.4696,0.50104
8,Brazil,37.0,0.07274167408001342,2053594973992.61,1868626087908.48,207833831.0,209469333.0,9880.946543263257,8920.762104629797,0.07946138086277822,0.83973,0.8844299999999999
9,Hungary,38.0,0.03122006224146667,139761138102.757,155703069815.638,9787966.0,9768785.0,14278.874497802402,15938.836796555355,0.03403886315079046,0.7358,0.7127
10,Sri Lanka,39.0,0.01704256781926864,88019706803.834,88900770857.6351,21444000.0,21670000.0,4104.630983204346,4102.481350144675,0.017430755774097768,0.7910200000000001,0.78004
11,Pakistan,47.0,0.010853291257106348,304951818494.066,312570060548.453,207896686.0,212215030.0,1466.8430957772264,1472.8931336694343,0.014672046485011013,0.66962,0.7253499999999999
12,Kazakhstan,52.0,0.0014050605043839741,162886867831.694,170538870248.194,18037776.0,18276499.0,9030.31880602653,9331.04694986682,0.0019503896064737851,0.20792,0.17798999999999998
13,Canada,55.0,0.027705515728415214,1646867220617.47,1712510030034.05,36540268.0,37058856.0,45069.92725443256,46210.547622788195,0.02976381690937894,0.89727,0.87262
14,Malaysia,60.0,0.003088028529723756,314707268049.991,354348422831.193,31105028.0,31528585.0,10117.56903256898,11238.957372530134,0.0033361190998662947,0.5412300000000001,0.5510100000000001
15,Uzbekistan,62.0,0.0,59159949231.4924,50499920318.2926,32388600.0,32955400.0,1826.567039992232,1532.3716391939593,0.0,0.24259,0.19224
16,Korea,65.0,0.013383190410296245,1530750923148.7,1619423701169.63,51466201.0,51635256.0,29742.83886134708,31362.75147293992,0.01648333349150851,0.39529000000000003,0.4036
17,Poland,66.0,0.04717843561778778,526371021088.561,585782872331.589,37974826.0,37978548.0,13861.051557907362,15424.046025445443,0.04190840964534688,0.50622,0.49988
18,Israel,68.0,0.01605681503935568,353268411918.577,369690436162.433,8713300.0,8883800.0,40543.584166570305,41613.998082175756,0.017768362748862947,0.60928,0.61494
19,Estonia,76.0,0.0690541229097244,26611651598.9453,30284890757.0585,1317384.0,1320884.0,20200.37559204097,22927.74441741932,0.06608033352563618,0.0898,0.08802
20,Indonesia,77.0,0.01712219621526603,1015423455783.28,1042173300625.55,264645886.0,267663435.0,3836.913813892728,3893.5960775723815,0.01799316920980346,0.28768,0.2983
21,Thailand,79.0,0.025973067555369232,455275517239.347,504992757704.997,69209858.0,69428524.0,6578.188864935209,7273.5632073209135,0.030290784191134068,0.41881999999999997,0.41924999999999996
22,Ukraine,80.0,0.005147562971394708,112190355158.178,130832374404.882,44831135.0,44622516.0,2502.509810607695,2931.981119237696,0.007090576670932252,0.70997,0.70481
23,Belarus,85.0,0.0028254147727453122,54726595249.1849,59662495092.2654,9498264.0,9485386.0,5761.747120230065,6289.938553082121,0.0033322404491949197,0.53437,0.55923
24,Egypt,86.0,0.006625803247855082,235369129337.711,250895469644.498,96442593.0,98423595.0,2440.5101731110753,2549.1394583229558,0.008316940900939415,1.0304,0.92519
25,Austria,88.0,0.07952318123502898,416835975862.194,455736580716.185,8797566.0,8847037.0,47380.82963653742,51512.905475153435,0.07915338101422888,0.7855,0.74237
26,Finland,89.0,0.1343455052569784,252331136734.129,273960969999.218,5508214.0,5518050.0,45809.973384136676,49648.149255483004,0.14597813240069446,0.61332,0.60516
