ISO3,NAME,AREA,POP2005,LON,LAT,country,year,co2,energy_consumption,renewable_generation,solar_generation,wind_generation,hydro_generation,geo_bio_other_generation,renew_energy_ratio,emission_power_ratio
COL,Colombia,103870,4494579,-73.076,3.9,Colombia,1983.0,42.50059658587883,78.24453263597727,0.23297280173779156,0.0,0.0,15.365776,0.234,0.002977496240173967,0.5431765665162505
COL,Colombia,103870,4494579,-73.076,3.9,Colombia,1984.0,42.717834972943905,80.25227002472145,0.2538806172783626,0.0,0.0,17.140220000000003,0.255,0.0031635319125571833,0.5322944131023934
COL,Colombia,103870,4494579,-73.076,3.9,Colombia,1985.0,44.02678632185256,83.39687409308154,0.26582794044440317,0.0,0.0,18.440772000000003,0.267,0.003187504847576245,0.5279189034437077
COL,Colombia,103870,4494579,-73.076,3.9,Colombia,1986.0,43.65232428962841,85.99090460126139,0.2648323301805665,0.0,0.0,21.332952000000002,0.266,0.003079771417786454,0.5076388542723631
COL,Colombia,103870,4494579,-73.076,3.9,Colombia,1987.0,48.22764508748099,93.49423566548911,0.2668235507082399,0.0,0.0,23.24756,0.268,0.002853903760044649,0.5158354923616209
COL,Colombia,103870,4494579,-73.076,3.9,Colombia,1988.0,46.406976726806015,93.4908676983315,0.2727972122912602,0.0,0.0,24.5194,0.274,0.0029179022401578237,0.49637978413622347
COL,Colombia,103870,4494579,-73.076,3.9,Colombia,1989.0,48.799640409195135,98.31847377890139,0.2727972122912602,0.0,0.0,26.78212,0.274,0.0027746282240378004,0.4963425339467309
COL,Colombia,103870,4494579,-73.076,3.9,Colombia,1990.0,41.97937678074569,91.80885856143965,0.2727972122912602,0.0,0.0,27.495852,0.274,0.0029713604609156626,0.4572475623651563
COL,Colombia,103870,4494579,-73.076,3.9,Colombia,1991.0,44.57579105305248,95.40295693531277,0.26781916097207664,0.0,0.0,27.726080000000003,0.269,0.0028072417205440427,0.46723699647251754
COL,Colombia,103870,4494579,-73.076,3.9,Colombia,1992.0,52.67758404245389,100.15565212438965,0.33850748970448347,0.0,0.0,22.280583999999998,0.34,0.0033798141445284544,0.525957176905306
